id,Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Month,Duration,Campaign,Pdays,Previous,Poutcome,Y
1,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,1
2,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,3
3,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,0
4,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,1
5,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,3
6,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,1
7,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,3
8,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,0
9,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,1
10,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,1
11,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,1
12,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,3
13,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,1
14,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,3
15,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,1
16,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,1
17,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,1
18,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,3
19,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,3
20,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,1
21,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,3
22,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,3
23,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,1
24,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,1
25,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,1
26,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,1
27,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,1
28,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,0
29,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,1
30,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,1
31,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,3
32,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,1
33,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,1
34,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,1
35,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,1
36,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,1
37,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,1
38,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,1
39,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,3
40,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,1
41,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,2
42,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,1
43,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,1
44,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,1
45,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,3
46,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,3
47,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,3
48,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,3
49,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,3
50,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,3
51,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,3
52,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,1
53,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,3
54,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,3
55,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,0
56,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,3
57,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,3
58,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,1
59,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,3
60,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,1
61,41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,1
62,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,3
63,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,3
64,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,1
65,34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,0
66,52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,3
67,31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,0
68,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,1
69,55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,3
70,55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,1
71,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,0
72,43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,3
73,32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,0
74,34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,0
75,43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,1
76,51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,1
77,41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,1
78,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,3
79,48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,1
80,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,1
81,40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,1
82,26,admin.,single,secondary,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,0
83,54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,1
84,50,blue-collar,married,primary,no,0,no,no,unknown,5,may,233,3,-1,0,unknown,3
85,44,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,1
86,35,retired,single,primary,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,3
87,48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,1
88,35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,1
